payload_size slaves_processing message_id half_rtt_ms
5000 none 6 68.9513
5000 none 1 73.9727
5000 none 9 78.9253
5000 none 7 81.9365
5000 none 8 38.6735
5000 none 0 42.6645
5000 none 4 46.6219
5000 none 5 49.6156
5000 none 2 53.6303
5000 none 1 57.6575
5000 none 7 61.5983
5000 none 3 65.6306
5000 none 6 70.4909
5000 none 9 73.5833
5000 none 7 16.9317
5000 none 8 18.9157
5000 none 1 20.9704
5000 none 2 21.968
5000 none 5 23.9354
5000 none 6 25.9305
5000 none 9 27.9079
5000 none 0 28.9779
5000 none 3 30.9465
5000 none 4 32.9444
5000 none 8 37.1331
5000 none 0 42.1171
5000 none 9 45.0495
5000 none 5 49.0748
5000 none 4 52.0766
5000 none 6 56.0688
5000 none 1 60.1171
5000 none 2 64.1119
5000 none 7 68.0434
5000 none 3 71.0881
5000 none 0 67.0878
5000 none 9 70.9988
5000 none 1 78.0806
5000 none 7 84.0281
5000 none 4 90.0435
5000 none 6 95.0329
5000 none 2 103.066
5000 none 5 110.041
5000 none 3 117.963
5000 none 8 122.017
5000 none 8 50.8148
5000 none 3 54.7762
5000 none 7 57.736
5000 none 5 60.752
5000 none 4 63.7765
5000 none 1 66.79
5000 none 9 70.7339
5000 none 2 73.7867
5000 none 6 76.7457
5000 none 0 79.7922
10000 none 8 24.1381
10000 none 4 27.0364
10000 none 3 29.9706
10000 none 0 33.0557
10000 none 9 35.9169
10000 none 1 40.0464
10000 none 2 43.012
10000 none 7 47.0041
10000 none 6 51.9924
10000 none 5 55.0352
10000 none 0 19.063
10000 none 8 21.0095
10000 none 2 23.066
10000 none 6 25.0249
10000 none 5 27.0394
10000 none 4 30.0177
10000 none 1 32.0448
10000 none 9 34.0222
10000 none 3 36.047
10000 none 7 38.8743
10000 none 7 17.3684
10000 none 4 19.3702
10000 none 8 21.3415
10000 none 0 24.398
10000 none 9 27.3675
10000 none 1 29.3947
10000 none 3 30.3802
10000 none 2 32.395
10000 none 5 34.385
10000 none 6 38.2238
10000 none 8 68.0519
10000 none 0 73.0163
10000 none 1 79.0003
10000 none 2 84.9955
10000 none 4 91.978
10000 none 3 98.9846
10000 none 7 106.845
10000 none 6 114.929
10000 none 5 122.966
10000 none 9 127.879
10000 none 6 18.2334
10000 none 9 20.2159
10000 none 0 22.2519
10000 none 1 23.2319
10000 none 8 25.1845
10000 none 3 27.2392
10000 none 5 29.2331
10000 none 2 32.244
10000 none 4 34.1993
10000 none 7 37.0614
10000 none 8 40.0969
10000 none 0 44.0064
10000 none 3 47.9816
10000 none 1 51.9816
10000 none 5 55.9508
10000 none 4 59.9611
10000 none 6 63.9412
10000 none 2 68.9834
10000 none 7 73.9336
10000 none 9 76.9324
10000 none 6 18.4524
10000 none 5 20.4608
10000 none 0 21.4657
10000 none 7 23.4476
10000 none 3 25.4617
10000 none 1 27.4708
10000 none 8 29.4539
10000 none 2 31.4696
10000 none 9 33.4291
10000 none 4 35.4557
10000 none 0 45.2305
10000 none 8 49.2884
10000 none 2 53.148
10000 none 5 57.1628
10000 none 1 62.19
10000 none 3 66.171
10000 none 4 72.1698
10000 none 6 77.0358
10000 none 7 82.1263
10000 none 9 86.145
10000 none 8 65.7205
10000 none 1 71.6982
10000 none 0 76.7111
10000 none 3 83.6595
10000 none 4 89.6541
10000 none 2 96.6906
10000 none 7 104.607
10000 none 5 111.633
10000 none 6 119.612
10000 none 9 124.576
10000 none 8 67.0712
10000 none 0 74.0751
10000 none 2 79.048
10000 none 6 84.9523
10000 none 7 91.9233
10000 none 4 99.0272
10000 none 5 105.976
10000 none 1 114.089
10000 none 9 121.93
10000 none 3 128.04
50000 none 3 20.7067
50000 none 8 26.5793
50000 none 0 33.7079
50000 none 7 38.608
50000 none 1 43.576
50000 none 2 53.663
50000 none 6 60.6032
50000 none 9 70.6382
50000 none 5 76.4758
50000 none 4 82.6618
50000 none 6 57.8799
50000 none 0 69.1373
50000 none 1 82.1675
50000 none 2 94.182
50000 none 3 108.183
50000 none 5 120.228
50000 none 9 133.052
50000 none 8 142.819
50000 none 7 157.159
50000 none 4 167.204
50000 none 2 20.4268
50000 none 0 26.4944
50000 none 1 32.4319
50000 none 6 41.3764
50000 none 8 46.3522
50000 none 4 52.4171
50000 none 7 58.3112
50000 none 9 68.4244
50000 none 5 74.4283
50000 none 3 84.444
50000 none 0 20.7775
50000 none 8 26.747
50000 none 2 32.7316
50000 none 3 40.7436
50000 none 6 46.7458
50000 none 5 52.7301
50000 none 9 58.75
50000 none 1 64.7859
50000 none 7 75.4952
50000 none 4 85.8001
50000 none 6 21.4005
50000 none 0 26.3117
50000 none 8 32.2616
50000 none 3 38.3627
50000 none 2 44.3688
50000 none 9 50.3072
50000 none 4 56.1892
50000 none 5 62.258
50000 none 1 67.3283
50000 none 7 72.5942
50000 none 3 23.1284
50000 none 0 28.1359
50000 none 8 35.036
50000 none 1 40.0828
50000 none 5 49.0997
50000 none 9 55.135
50000 none 4 61.1299
50000 none 2 67.0614
50000 none 6 72.0713
50000 none 7 80.3565
50000 none 8 58.6179
50000 none 0 68.9728
50000 none 4 82.0302
50000 none 1 94.0884
50000 none 3 106.86
50000 none 5 121.825
50000 none 2 135.843
50000 none 7 150.911
50000 none 6 164.581
50000 none 9 177.898
50000 none 8 50.8657
50000 none 0 61.3151
50000 none 2 72.1774
50000 none 5 83.2146
50000 none 7 96.2553
50000 none 4 108.133
50000 none 1 119.116
50000 none 9 128.121
50000 none 3 140.107
50000 none 6 153.188
50000 none 8 42.2272
50000 none 0 50.7406
50000 none 2 62.6814
50000 none 3 72.6802
50000 none 4 83.7837
50000 none 7 93.6932
50000 none 5 104.521
50000 none 6 114.708
50000 none 1 126.597
50000 none 9 137.592
50000 none 0 22.3772
50000 none 3 30.3575
50000 none 2 36.363
50000 none 1 43.1731
50000 none 4 49.3437
50000 none 5 54.3162
