payload_size delay num_messages message_id arrival_rank half_rtt_ms
13333333 none 6 2 3 6054.77
13333333 none 6 3 4 7299.88
13333333 none 6 0 5 8826.49
13333333 none 6 4 0 1381.33
13333333 none 6 1 1 2707.75
13333333 none 6 5 2 4390.38
13333333 none 6 0 3 5557.47
13333333 none 6 3 4 7243.05
13333333 none 6 2 5 8587.2
13333333 none 6 0 0 1235
13333333 none 6 2 1 2594.64
13333333 none 6 3 2 3981.21
13333333 none 6 4 3 5813.56
13333333 none 6 5 4 7405.09
13333333 none 6 1 5 8857.96
13333333 none 6 4 0 1415.55
13333333 none 6 5 1 2837
13333333 none 6 1 2 4162.85
13333333 none 6 3 3 5571.5
13333333 none 6 0 4 7279.5
13333333 none 6 2 5 8763.22
13333333 none 6 1 0 1648.5
13333333 none 6 2 1 2958.06
13333333 none 6 4 2 4373.7
13333333 none 6 5 3 5718.65
13333333 none 6 0 4 7079.82
13333333 none 6 3 5 8747.85
13333333 none 6 4 0 1419.16
13333333 none 6 3 1 2857.33
13333333 none 6 1 2 4365.03
13333333 none 6 5 3 5685.45
13333333 none 6 2 4 7133.82
13333333 none 6 0 5 8448.89
13333333 none 6 0 0 1390.78
13333333 none 6 2 1 2679.51
13333333 none 6 3 2 4095.36
13333333 none 6 1 3 5623.43
13333333 none 6 5 4 7045.73
13333333 none 6 4 5 8839.21
13333333 none 6 4 0 1759.36
13333333 none 6 2 1 3099.8
13333333 none 6 1 2 4582.64
13333333 none 6 5 3 5922.7
13333333 none 6 3 4 7530.87
13333333 none 6 0 5 8988.36
10000000 none 8 5 0 1030.08
10000000 none 8 6 1 2134.55
10000000 none 8 0 2 3260.46
10000000 none 8 3 3 4448.47
10000000 none 8 7 4 5498.84
10000000 none 8 2 5 6567.66
10000000 none 8 1 6 7662.63
10000000 none 8 4 7 9086.68
10000000 none 8 5 0 1017.2
10000000 none 8 1 1 2224.48
10000000 none 8 4 2 3571.55
10000000 none 8 7 3 4599.22
10000000 none 8 0 4 5708.22
10000000 none 8 2 5 6755.94
10000000 none 8 3 6 7735.35
10000000 none 8 6 7 8928.1
10000000 none 8 2 0 1083.34
10000000 none 8 1 1 2151.43
10000000 none 8 7 2 3255.09
10000000 none 8 5 3 4243.66
10000000 none 8 6 4 5258.32
10000000 none 8 4 5 6371.57
10000000 none 8 0 6 7387.62
10000000 none 8 3 7 8543.31
10000000 none 8 1 0 1046.62
10000000 none 8 6 1 2093.88
10000000 none 8 4 2 3104.75
10000000 none 8 7 3 4218.1
10000000 none 8 5 4 5172.27
10000000 none 8 0 5 6235.48
10000000 none 8 2 6 7420.48
10000000 none 8 3 7 8484.83
10000000 none 8 5 0 1012.69
10000000 none 8 1 1 2041.76
10000000 none 8 4 2 3407.98
10000000 none 8 2 3 4457.49
10000000 none 8 7 4 5552.3
10000000 none 8 6 5 6644.92
10000000 none 8 0 6 7690.08
10000000 none 8 3 7 9035.82
10000000 none 8 7 0 1231.09
10000000 none 8 1 1 2193.24
10000000 none 8 4 2 3440.47
10000000 none 8 5 3 4329.27
10000000 none 8 6 4 5392.52
10000000 none 8 0 5 6461.38
10000000 none 8 3 6 7420.92
10000000 none 8 2 7 8483.58
10000000 none 8 1 0 1043.93
10000000 none 8 6 1 2008.64
10000000 none 8 7 2 3214.54
10000000 none 8 2 3 4270.94
10000000 none 8 4 4 5490.18
10000000 none 8 5 5 6529.56
10000000 none 8 0 6 7639.56
10000000 none 8 3 7 8723.29
10000000 none 8 7 0 1312.96
