payload_size delay num_messages message_id arrival_rank rtt_ms
15000000 none 1 0 0 3416.96
15000000 none 1 0 0 3302.01
15000000 none 1 0 0 3345.18
15000000 none 1 0 0 3062.77
15000000 none 1 0 0 3332.05
20000000 none 1 0 0 4839.72
20000000 none 1 0 0 4503.74
20000000 none 1 0 0 4808.42
20000000 none 1 0 0 4524.5
20000000 none 1 0 0 4812.74
20000000 none 1 0 0 4608.38
20000000 none 1 0 0 4885.56
20000000 none 1 0 0 4661.28
20000000 none 1 0 0 4760.45
20000000 none 1 0 0 4576.16
20000000 none 1 0 0 4690.75
20000000 none 1 0 0 4602.94
20000000 none 1 0 0 4802.82
20000000 none 1 0 0 4838.67
20000000 none 1 0 0 4814.12
20000000 none 1 0 0 4709.18
20000000 none 1 0 0 4604.84
20000000 none 1 0 0 4576.64
20000000 none 1 0 0 4715.68
20000000 none 1 0 0 4642.02
20000000 none 1 0 0 4231.81
20000000 none 1 0 0 4892.63
20000000 none 1 0 0 4886.78
20000000 none 1 0 0 3955.06
20000000 none 1 0 0 4889.94
20000000 none 1 0 0 4268.32
20000000 none 1 0 0 4892.33
20000000 none 1 0 0 4898.33
20000000 none 1 0 0 4743.44
20000000 none 1 0 0 4451.04
40000000 none 1 0 0 11083
40000000 none 1 0 0 11319.2
40000000 none 1 0 0 11589.4
40000000 none 1 0 0 11633.7
40000000 none 1 0 0 11656
40000000 none 1 0 0 11055.1
40000000 none 1 0 0 11727.8
40000000 none 1 0 0 11046.3
40000000 none 1 0 0 11178.4
40000000 none 1 0 0 11651.3
40000000 none 1 0 0 11527.2
40000000 none 1 0 0 11444.6
40000000 none 1 0 0 11277.6
40000000 none 1 0 0 11675.2
40000000 none 1 0 0 11569.6
40000000 none 1 0 0 11287.9
40000000 none 1 0 0 11400
40000000 none 1 0 0 11375.7
40000000 none 1 0 0 11455.7
40000000 none 1 0 0 11089.7
40000000 none 1 0 0 11043.9
40000000 none 1 0 0 11438.6
40000000 none 1 0 0 11249.1
40000000 none 1 0 0 11255.8
40000000 none 1 0 0 11461
40000000 none 1 0 0 11510.4
40000000 none 1 0 0 11433.2
40000000 none 1 0 0 11348.8
40000000 none 1 0 0 11375.3
40000000 none 1 0 0 11511.8
80000000 none 1 0 0 38119.4
80000000 none 1 0 0 37785.5
80000000 none 1 0 0 38555.9
80000000 none 1 0 0 38803.5
80000000 none 1 0 0 38311.4
80000000 none 1 0 0 38346.9
80000000 none 1 0 0 38110.4
80000000 none 1 0 0 38355.1
80000000 none 1 0 0 38235.5
80000000 none 1 0 0 38077.3
80000000 none 1 0 0 38431.6
80000000 none 1 0 0 37784.2
80000000 none 1 0 0 38317.2
80000000 none 1 0 0 37566.3
80000000 none 1 0 0 38039.8
80000000 none 1 0 0 38588.6
80000000 none 1 0 0 37369
80000000 none 1 0 0 38090.7
80000000 none 1 0 0 38319.5
80000000 none 1 0 0 37448.4
80000000 none 1 0 0 37912.6
80000000 none 1 0 0 38481.8
80000000 none 1 0 0 37291.4
80000000 none 1 0 0 38457.2
80000000 none 1 0 0 38574.9
80000000 none 1 0 0 37543.6
80000000 none 1 0 0 38224.2
80000000 none 1 0 0 38454.9
80000000 none 1 0 0 37971.9
80000000 none 1 0 0 37658.6
0 constant 10 7 0 21.2496
0 constant 10 1 1 33.9274
0 constant 10 6 2 27.1532
0 constant 10 3 3 35.1545
0 constant 10 0 4 45.2163
0 constant 10 4 5 52.4579
0 constant 10 8 6 65.2973
0 constant 10 2 7 59.5266
0 constant 10 5 8 62.4789
0 constant 10 9 9 70.8075
0 constant 10 9 0 17.6876
0 constant 10 5 1 16.7416
0 constant 10 3 2 27.8961
0 constant 10 7 3 25.5306
0 constant 10 0 4 31.4237
0 constant 10 2 5 43.4424
0 constant 10 8 6 52.1026
0 constant 10 4 7 48.206
0 constant 10 1 8 58.6991
0 constant 10 6 9 61.1168
0 constant 10 4 0 17.4779
0 constant 10 9 1 20.8891
0 constant 10 6 2 22.1911
0 constant 10 5 3 21.6815
0 constant 10 3 4 34.9859
0 constant 10 7 5 33.249
0 constant 10 0 6 44.2522
0 constant 10 2 7 49.2531
0 constant 10 8 8 62.5079
0 constant 10 1 9 61.1479
0 constant 10 5 0 15.6768
0 constant 10 3 1 19.504
0 constant 10 7 2 28.3646
0 constant 10 0 3 38.0083
0 constant 10 8 4 37.9695
0 constant 10 2 5 50.0471
0 constant 10 4 6 43.9624
0 constant 10 1 7 41.7001
0 constant 10 9 8 50.3865
0 constant 10 6 9 47.4758
0 constant 10 6 0 12.7624
0 constant 10 5 1 19.8577
0 constant 10 3 2 28.0011
0 constant 10 7 3 29.1737
0 constant 10 0 4 29.4292
0 constant 10 2 5 45.4953
0 constant 10 8 6 53.1579
0 constant 10 4 7 48.557
0 constant 10 1 8 60.854
0 constant 10 9 9 61.0839
0 constant 10 0 0 15.0125
0 constant 10 2 1 18.4866
0 constant 10 4 2 26.5497
0 constant 10 9 3 33.6501
0 constant 10 6 4 33.1758
0 constant 10 3 5 34.2843
0 constant 10 5 6 48.2677
0 constant 10 7 7 52.2049
0 constant 10 8 8 54.5422
0 constant 10 1 9 61.9602
0 constant 10 6 0 16.7481
0 constant 10 3 1 19.5667
0 constant 10 5 2 21.2937
0 constant 10 7 3 30.3165
0 constant 10 0 4 29.0993
0 constant 10 2 5 38.2217
0 constant 10 4 6 51.961
0 constant 10 8 7 58.2967
0 constant 10 1 8 61.5368
0 constant 10 9 9 61.137
0 constant 10 0 0 13.6342
0 constant 10 4 1 19.7266
0 constant 10 9 2 26.7061
0 constant 10 6 3 22.3927
0 constant 10 3 4 32.2185
0 constant 10 5 5 31.6538
0 constant 10 7 6 40.1168
0 constant 10 2 7 54.1782
0 constant 10 8 8 58.8114
0 constant 10 1 9 57.365
0 constant 10 5 0 14.0684
0 constant 10 2 1 19.4993
0 constant 10 4 2 27.7737
0 constant 10 6 3 21.7978
0 constant 10 3 4 27.9517
0 constant 10 7 5 37.4149
0 constant 10 0 6 51.7382
0 constant 10 8 7 50.6087
0 constant 10 1 8 65.5401
0 constant 10 9 9 61.4112
0 constant 10 9 0 19.4687
0 constant 10 6 1 21.495
0 constant 10 5 2 19.118
0 constant 10 7 3 34.9471
0 constant 10 0 4 29.9267
0 constant 10 2 5 45.1745
0 constant 10 4 6 44.1313
0 constant 10 8 7 48.6847
0 constant 10 1 8 60.0853
0 constant 10 3 9 62.5254
0 constant 4 1 0 9.43619
0 constant 4 3 1 10.7188
0 constant 4 0 2 7.70371
0 constant 4 2 3 9.30322
0 constant 4 0 0 8.91055
0 constant 4 2 1 11.8317
0 constant 4 1 2 12.6038
0 constant 4 3 3 14.1252
0 constant 4 2 0 8.78646
0 constant 4 1 1 10.1124
0 constant 4 3 2 10.7904
0 constant 4 0 3 8.61928
0 constant 4 0 0 11.5498
0 constant 4 2 1 10.6635
0 constant 4 1 2 10.2736
0 constant 4 3 3 11.5753
0 constant 4 0 0 9.61935
0 constant 4 2 1 8.63447
0 constant 4 1 2 10.7491
0 constant 4 3 3 11.6231
0 constant 4 0 0 8.67057
0 constant 4 2 1 9.63494
0 constant 4 1 2 13.52
0 constant 4 3 3 12.6607
0 constant 4 0 0 9.23324
0 constant 4 2 1 12.5969
0 constant 4 1 2 11.4706
0 constant 4 3 3 11.4483
0 constant 4 1 0 5.17351
0 constant 4 3 1 8.09008
0 constant 4 0 2 6.17203
0 constant 4 2 3 6.65221
0 constant 4 0 0 9.77147
0 constant 4 2 1 8.7751
0 constant 4 1 2 10.104
0 constant 4 3 3 9.92357
0 constant 4 0 0 8.80762
0 constant 4 2 1 10.0265
0 constant 4 1 2 13.975
0 constant 4 3 3 12.5666
0 constant 1 0 0 6.8972
0 constant 1 0 0 6.69761
0 constant 1 0 0 6.66861
0 constant 1 0 0 6.91111
0 constant 1 0 0 6.86418
0 constant 1 0 0 6.98474
0 constant 1 0 0 6.43636
0 constant 1 0 0 6.74764
0 constant 1 0 0 6.65573
0 constant 1 0 0 6.90647
