payload_size delay num_messages message_id arrival_rank half_rtt_ms
10 none 1 0 0 2.86643
10 none 1 0 0 40.7645
10 none 1 0 0 29.5047
10 none 1 0 0 3.47709
50 none 10 7 0 36.4036
50 none 10 6 1 38.9247
50 none 10 9 2 42.3508
50 none 10 3 3 45.2972
50 none 10 0 4 48.675
50 none 10 1 5 51.8988
50 none 10 2 6 55.372
50 none 10 4 7 58.9426
50 none 10 5 8 62.7837
50 none 10 8 9 65.1524
50 none 10 4 0 16.872
50 none 10 3 1 18.3176
50 none 10 6 2 19.2252
50 none 10 7 3 20.5311
50 none 10 5 4 23.1871
50 none 10 9 5 24.6671
50 none 10 2 6 26.1172
50 none 10 1 7 27.8831
50 none 10 0 8 29.1726
50 none 10 8 9 31.7728
50 none 10 2 0 20.391
50 none 10 6 1 21.2347
50 none 10 9 2 22.6021
50 none 10 7 3 23.5469
50 none 10 4 4 25.2678
50 none 10 1 5 26.4985
50 none 10 0 6 27.7125
50 none 10 8 7 30.7812
50 none 10 3 8 33.2468
50 none 10 5 9 35.0117
50 none 10 9 0 21.999
50 none 10 6 1 22.9843
50 none 10 7 2 26.4215
50 none 10 3 3 28.1056
50 none 10 2 4 31.7079
50 none 10 5 5 33.7325
50 none 10 4 6 35.882
50 none 10 1 7 38.4686
50 none 10 0 8 40.8771
50 none 10 8 9 42.9065
50 none 10 0 0 17.4328
50 none 10 6 1 18.5071
50 none 10 5 2 19.5887
50 none 10 1 3 20.682
50 none 10 7 4 22.4624
50 none 10 9 5 23.3909
50 none 10 3 6 25.3131
50 none 10 2 7 26.148
50 none 10 4 8 29.0326
50 none 10 8 9 31.6877
50 none 10 2 0 19.0299
50 none 10 0 1 20.0481
50 none 10 6 2 21.4264
50 none 10 7 3 22.4074
50 none 10 5 4 25.1117
50 none 10 3 5 26.4755
50 none 10 1 6 29.1252
50 none 10 9 7 30.3145
50 none 10 4 8 33.2341
50 none 10 8 9 35.6803
50 none 10 0 0 17.0024
50 none 10 2 1 18.1476
50 none 10 9 2 19.3134
50 none 10 4 3 20.935
50 none 10 6 4 22.1457
50 none 10 1 5 23.7069
50 none 10 8 6 25.7242
50 none 10 7 7 27.1463
50 none 10 3 8 29.1406
50 none 10 5 9 30.8328
50 none 10 1 0 18.1808
50 none 10 6 1 19.3348
50 none 10 9 2 20.439
50 none 10 7 3 21.6664
50 none 10 3 4 23.0247
50 none 10 2 5 24.8223
50 none 10 5 6 27.8928
50 none 10 8 7 29.9541
50 none 10 4 8 31.339
50 none 10 0 9 34.1596
50 none 10 5 0 16.996
50 none 10 2 1 18.2276
50 none 10 7 2 19.2998
50 none 10 1 3 20.7074
50 none 10 9 4 22.3981
50 none 10 6 5 23.8494
50 none 10 0 6 24.8467
50 none 10 3 7 27.1315
50 none 10 4 8 28.1853
50 none 10 8 9 30.9989
50 none 10 3 0 17.3737
50 none 10 9 1 18.214
50 none 10 7 2 19.5325
50 none 10 0 3 20.5594
50 none 10 4 4 21.7832
50 none 10 1 5 23.1971
50 none 10 5 6 24.8793
50 none 10 6 7 26.0976
50 none 10 2 8 27.9208
50 none 10 8 9 30.5778
50 none 4 2 0 6.62183
50 none 4 0 1 7.3656
50 none 4 1 2 7.89928
50 none 4 3 3 29.9777
50 none 4 0 0 5.75791
50 none 4 2 1 6.58591
50 none 4 1 2 7.51562
50 none 4 3 3 16.4107
50 none 4 0 0 6.35649
50 none 4 2 1 7.66836
50 none 4 1 2 8.62525
50 none 4 3 3 24.0685
50 none 4 1 0 6.20738
50 none 4 0 1 7.25874
50 none 4 2 2 8.12809
50 none 4 3 3 27.3986
50 none 4 1 0 6.243
50 none 4 0 1 6.99583
50 none 4 2 2 7.91558
50 none 4 3 3 43.1093
50 none 4 0 0 5.44791
50 none 4 2 1 6.41868
50 none 4 3 2 7.44982
50 none 4 1 3 8.24612
50 none 4 0 0 4.5363
50 none 4 2 1 5.07662
50 none 4 3 2 6.54817
50 none 4 1 3 7.14253
50 none 4 2 0 9.03155
50 none 4 1 1 10.7078
50 none 4 0 2 12.3643
50 none 4 3 3 13.6282
50 none 4 0 0 5.34497
50 none 4 3 1 6.15908
50 none 4 1 2 7.14313
50 none 4 2 3 7.56422
50 none 4 1 0 6.41506
50 none 4 3 1 7.90804
50 none 4 0 2 8.69468
50 none 4 2 3 9.81879
50 none 1 0 0 3.03909
50 none 1 0 0 44.8858
50 none 1 0 0 3.08618
50 none 1 0 0 2.84077
50 none 1 0 0 2.94612
50 none 1 0 0 39.8324
50 none 1 0 0 3.11848
50 none 1 0 0 2.84077
50 none 1 0 0 2.72154
50 none 1 0 0 10.0518
100 none 10 9 0 61.9307
100 none 10 6 1 66.6732
100 none 10 7 2 71.47
100 none 10 0 3 78.1884
100 none 10 1 4 83.9892
100 none 10 5 5 90.0788
100 none 10 2 6 96.5639
100 none 10 4 7 103.418
100 none 10 8 8 110.271
100 none 10 3 9 113.81
100 none 10 1 0 16.1686
100 none 10 6 1 17.0812
100 none 10 3 2 18.3689
100 none 10 7 3 19.5594
100 none 10 2 4 20.5033
100 none 10 9 5 22.1134
100 none 10 4 6 23.7806
100 none 10 8 7 25.3701
100 none 10 5 8 27.3452
100 none 10 0 9 28.2197
100 none 10 0 0 16.7645
100 none 10 6 1 17.6511
100 none 10 7 2 18.959
100 none 10 3 3 20.0931
100 none 10 4 4 21.5471
100 none 10 2 5 23.079
100 none 10 1 6 24.8292
100 none 10 9 7 26.4776
100 none 10 8 8 28.1415
100 none 10 5 9 29.7401
100 none 10 9 0 18.9201
100 none 10 3 1 20.1698
100 none 10 6 2 21.0515
100 none 10 1 3 22.411
100 none 10 4 4 24.1703
100 none 10 0 5 25.4948
100 none 10 2 6 27.2709
100 none 10 8 7 30.2481
100 none 10 7 8 32.4303
100 none 10 5 9 34.4107
100 none 10 2 0 17.3489
100 none 10 5 1 18.5123
100 none 10 9 2 19.6059
100 none 10 6 3 20.6814
100 none 10 7 4 22.1849
100 none 10 4 5 24.0317
100 none 10 1 6 25.5183
100 none 10 0 7 27.456
100 none 10 3 8 28.9737
100 none 10 8 9 31.2234
100 none 10 4 0 17.3033
100 none 10 8 1 20.3494
100 none 10 7 2 21.5806
100 none 10 2 3 23.2022
100 none 10 3 4 24.678
100 none 10 5 5 27.9453
100 none 10 9 6 30.0079
100 none 10 1 7 31.2811
100 none 10 0 8 32.7424
100 none 10 6 9 34.5218
100 none 10 8 0 16.7899
100 none 10 7 1 17.8047
100 none 10 6 2 19.1785
100 none 10 2 3 20.2011
100 none 10 9 4 21.8125
100 none 10 4 5 23.4485
100 none 10 5 6 24.6131
100 none 10 1 7 26.9018
100 none 10 0 8 28.7216
100 none 10 3 9 29.5916
100 none 10 0 0 18.0045
100 none 10 7 1 18.9173
100 none 10 6 2 20.2778
100 none 10 9 3 21.4237
100 none 10 4 4 22.8738
100 none 10 3 5 23.9816
100 none 10 2 6 25.4936
100 none 10 1 7 27.6597
100 none 10 5 8 30.2756
100 none 10 8 9 32.3943
100 none 10 1 0 16.7624
100 none 10 4 1 17.6218
100 none 10 6 2 19.1531
100 none 10 9 3 20.0333
100 none 10 7 4 21.4403
100 none 10 5 5 23.3317
100 none 10 0 6 25.055
100 none 10 3 7 26.5839
100 none 10 2 8 27.9912
100 none 10 8 9 30.8123
100 none 10 2 0 17.632
100 none 10 3 1 18.5986
100 none 10 9 2 19.8806
100 none 10 7 3 21.2347
100 none 10 0 4 22.9085
100 none 10 1 5 23.9436
100 none 10 8 6 25.6137
100 none 10 4 7 27.6531
100 none 10 5 8 30.1983
100 none 10 6 9 32.1145
100 none 4 1 0 8.10002
100 none 4 3 1 8.72667
100 none 4 0 2 9.83962
100 none 4 2 3 10.5272
100 none 4 3 0 6.47573
100 none 4 0 1 7.47246
100 none 4 1 2 8.83111
100 none 4 2 3 9.37355
100 none 4 2 0 8.85466
100 none 4 0 1 10.4959
100 none 4 1 2 12.6149
100 none 4 3 3 13.6388
100 none 4 2 0 4.69055
100 none 4 0 1 5.36369
100 none 4 1 2 6.35378
100 none 4 3 3 6.77275
100 none 4 1 0 5.15994
100 none 4 3 1 5.84817
100 none 4 2 2 6.67375
100 none 4 0 3 7.55004
100 none 4 2 0 5.03436
100 none 4 0 1 5.52579
100 none 4 3 2 6.43347
100 none 4 1 3 7.33481
100 none 4 0 0 9.77049
100 none 4 1 1 11.1506
